group_order,small_group_id,group_structure,class_i,class_j,class_size,union_size,linear_nullity,unordered_sign_solutions,nontrivial_partitions,isomorphic_partitions,new_twists,isomorphism_flags
192,643,"C3 : ((C4 : Q8) : C2)",26,33,4,8,1,1,0,0,0,""
192,645,"C3 : ((C4 : Q8) : C2)",10,21,12,24,1,1,0,0,0,""
192,645,"C3 : ((C4 : Q8) : C2)",13,24,4,8,1,1,0,0,0,""
192,645,"C3 : ((C4 : Q8) : C2)",20,28,12,24,1,1,0,0,0,""
192,645,"C3 : ((C4 : Q8) : C2)",23,30,4,8,1,1,0,0,0,""
192,646,"C3 : ((C4 : Q8) : C2)",2,11,12,24,1,1,0,0,0,""
192,646,"C3 : ((C4 : Q8) : C2)",9,23,12,24,1,1,0,0,0,""
192,646,"C3 : ((C4 : Q8) : C2)",26,33,4,8,1,1,0,0,0,""
192,648,"C3 : ((C4 : Q8) : C2)",10,21,12,24,1,1,0,0,0,""
192,648,"C3 : ((C4 : Q8) : C2)",13,24,4,8,1,1,0,0,0,""
192,648,"C3 : ((C4 : Q8) : C2)",20,28,12,24,1,1,0,0,0,""
192,648,"C3 : ((C4 : Q8) : C2)",23,30,4,8,1,1,0,0,0,""
192,649,"C3 : (C4 : Q16)",2,11,12,24,1,1,0,0,0,""
192,649,"C3 : (C4 : Q16)",9,23,12,24,1,1,0,0,0,""
192,649,"C3 : (C4 : Q16)",26,33,4,8,1,1,0,0,0,""
192,650,"C3 : (Q8 : Q8)",2,11,12,24,1,1,0,0,0,""
192,650,"C3 : (Q8 : Q8)",9,23,12,24,1,1,0,0,0,""
192,650,"C3 : (Q8 : Q8)",26,33,4,8,1,1,0,0,0,""
192,653,"C3 : (Q8 : Q8)",2,11,12,24,1,1,0,0,0,""
192,653,"C3 : (Q8 : Q8)",9,23,12,24,1,1,0,0,0,""
192,653,"C3 : (Q8 : Q8)",26,33,4,8,1,1,0,0,0,""
192,654,"C3 : (((C2 x Q8) : C2) : C2)",2,11,12,24,1,1,0,0,0,""
192,654,"C3 : (((C2 x Q8) : C2) : C2)",9,21,12,24,1,1,0,0,0,""
192,709,"C3 : (((C4 x C4) : C2) : C2)",9,23,12,24,1,1,0,0,0,""
192,712,"C3 : (((C4 x C4) : C2) : C2)",9,23,12,24,1,1,0,0,0,""
192,713,"C3 : (((C4 x C4) : C2) : C2)",2,11,12,24,1,1,0,0,0,""
192,713,"C3 : (((C4 x C4) : C2) : C2)",20,27,12,24,1,1,0,0,0,""
192,715,"C3 : (((C4 x C2 x C2) : C2) : C2)",9,23,12,24,1,1,0,0,0,""
192,717,"C3 : (((C4 x C2 x C2) : C2) : C2)",9,22,12,24,1,1,0,0,0,""
192,718,"C3 : (((C4 x C2 x C2) : C2) : C2)",2,11,12,24,1,1,0,0,0,""
192,718,"C3 : (((C4 x C2 x C2) : C2) : C2)",20,27,12,24,1,1,0,0,0,""
192,719,"C3 : ((C8 : (C2 x C2)) : C2)",2,11,12,24,1,1,0,0,0,""
192,719,"C3 : ((C8 : (C2 x C2)) : C2)",9,22,12,24,1,1,0,0,0,""
192,721,"C3 : ((C4 : Q8) : C2)",9,23,12,24,1,1,0,0,0,""
192,722,"C3 : ((C4 x Q8) : C2)",10,23,12,24,1,1,0,0,0,""
192,724,"C3 : (((C4 x C4) : C2) : C2)",9,23,12,24,1,1,0,0,0,""
192,725,"C3 : ((C4 : C8) : C2)",9,23,12,24,1,1,0,0,0,""
192,726,"C3 : ((C8 : C4) : C2)",2,11,12,24,1,1,0,0,0,""
192,726,"C3 : ((C8 : C4) : C2)",20,27,12,24,1,1,0,0,0,""
192,728,"C3 : (((C2 x Q8) : C2) : C2)",9,23,12,24,1,1,0,0,0,""
192,729,"C3 : (((C8 x C2) : C2) : C2)",9,23,12,24,1,1,0,0,0,""
192,731,"C3 : ((C2 x ((C4 x C2) : C2)) : C2)",10,22,12,24,1,1,0,0,0,""
192,732,"C3 : (((C2 x Q8) : C2) : C2)",9,22,12,24,1,1,0,0,0,""
192,733,"C3 : (((C2 x Q8) : C2) : C2)",2,11,12,24,1,1,0,0,0,""
192,733,"C3 : (((C2 x Q8) : C2) : C2)",9,22,12,24,1,1,0,0,0,""
192,735,"C3 : (((C4 x C4) : C2) : C2)",10,21,12,24,1,1,0,0,0,""
192,735,"C3 : (((C4 x C4) : C2) : C2)",20,28,12,24,1,1,0,0,0,""
192,736,"C3 : (((C2 x Q8) : C2) : C2)",2,11,12,24,1,1,0,0,0,""
192,736,"C3 : (((C2 x Q8) : C2) : C2)",9,22,12,24,1,1,0,0,0,""
192,741,"C3 : (C4 : Q16)",9,23,12,24,1,1,0,0,0,""
192,744,"C3 : ((C4 : C8) : C2)",9,23,12,24,1,1,0,0,0,""
192,745,"C3 : ((C2 x Q16) : C2)",9,23,12,24,1,1,0,0,0,""
192,746,"C3 : (((C8 x C2) : C2) : C2)",10,22,12,24,1,1,0,0,0,""
192,748,"C3 : ((C2 x Q16) : C2)",2,11,12,24,1,1,0,0,0,""
192,748,"C3 : ((C2 x Q16) : C2)",9,22,12,24,1,1,0,0,0,""
192,749,"C3 : ((C2 x Q16) : C2)",10,21,12,24,1,1,0,0,0,""
192,749,"C3 : ((C2 x Q16) : C2)",20,28,12,24,1,1,0,0,0,""
